"Departement";"Homicide_et_tentative";"Coups_et_blessures";"Prisedotage_Sequestration_Attentat";"violences_Menaces";"viol_Harcelements";"Ventes_usage_stupefiant";"Falsification_escroquerie";"Destruction_Degradation";"Fraudes_Delitseconomiques";"Vols_Cambriolages";"Port_et_Detention_Armes_prohibe";"Population.de.moins.de.25.ans";"Taux.de.mortalité";"Esperance.de.vie.Hommes";"Taux.de.pauvreté";"Niveau.de.vie.median";"Taux.de.chomage.annuel";"Taux.d.activité.population";"Taux.logement.suroccupé";"Part.d.enfant.dont.les.parent.sans.enfants";"jeunes.non.inseres";"Part.des.jeunes.en.difficulté.de.lecture";"Part.allocataire.RSA.15.64.ans";"Taux.de.criminalité"
"Ain";12;1625;31;1710;578;1246;3493;1713;15;10324;142;30,2;7,6;80,7;10,5;22640;6,1;77,9;4,8;6,7;21,2;10,2;1,9;31,75
"Aisne";24;2213;23;2116;674;1166;2649;2242;13;9507;235;29,5;11,1;76,9;18,5;19100;11,8;72,1;4,5;16,1;33,5;17,9;5,5;39,48
"Allier";29;1075;13;1064;353;662;1872;1055;7;4611;144;24,3;13,6;78,1;15,4;19750;9,1;72,9;4,2;13,5;24,8;13,2;5,2;32,6
"Alpes-de-Haute-Provence";8;670;6;679;138;608;1004;451;4;3012;90;24,5;11,9;79,4;16,6;19940;10,3;73,6;5,9;12,1;28,6;9;4,5;40,37
"Hautes-Alpes";3;506;5;420;135;677;826;250;6;1855;65;25,2;10,4;80,7;13,9;20350;7,9;75,8;5,2;8,2;22,2;8,2;3,5;33,83
"Alpes-Maritimes";86;5814;91;5630;1036;4078;8285;3792;109;27528;779;25,9;11;80,5;15,5;21590;8,9;74,6;19,2;11,2;22,8;8,6;3,7;52,59
"Ardèche";4;870;7;795;318;725;1591;1291;8;4618;116;25,4;11,6;79,7;14,3;20150;9,3;74,4;3,5;10,5;27,3;10,4;3,4;31,56
"Ardennes";9;1097;8;1152;297;723;1400;890;10;3773;128;27,3;11,1;77,8;18,9;19040;10;71,9;3,2;15,6;32,6;10,8;6,5;35,47
"Ariège";6;683;8;620;223;326;939;389;11;2216;90;24,3;12,9;79,1;18,4;19190;10,7;73,4;3,8;14,2;29,5;11,6;7;35,99
"Aube";7;1341;16;1378;543;706;1927;869;7;6060;143;29,4;10,8;77,9;16,3;19820;10,6;73,1;6,8;16,9;26,3;11,5;5,2;41,9
"Aude";24;1307;15;1174;347;831;1818;1044;14;6892;128;25,2;11,5;78,7;20,8;18560;11,4;71,8;4,9;17,7;33,9;12,7;7,7;36,15
"Aveyron";5;690;4;782;263;545;1327;504;6;2873;97;24;12,5;80,3;13,9;20090;6,4;75,1;3,8;7,8;20,6;9,2;2,6;25,4
"Bouches-du-Rhône";236;11070;228;9993;1942;7918;15823;7457;274;71625;1970;29,4;9;80;18,2;20800;10,1;70,4;13;17,1;23,9;11,6;6,3;62,87
"Calvados";26;2289;32;2321;919;1687;3520;2042;26;9247;319;29,2;10,3;78,6;12,3;20880;7,7;72,9;7,5;9,5;20,3;11,8;3,5;32,35
"Cantal";1;387;5;355;138;210;676;269;10;1275;41;22,4;14,3;78,3;13,2;19880;5;75,6;3,3;7;19,6;11,7;2,8;23,41
"Charente";11;1312;14;1156;442;786;2194;1080;9;5452;127;25;12,5;79,5;14,9;20070;8,2;74,7;3,5;13;27,3;13,1;5,1;35,96
"Charente-Maritime";40;2449;31;1892;797;1878;3706;2165;15;12287;227;24,4;12,3;79,2;13;20610;8,7;73,4;5,2;10,1;25;9,8;4,3;39,17
"Cher";4;972;7;803;283;427;1533;824;11;4400;161;25,1;13,1;78,1;14,7;20240;8,8;74;4,2;12,3;27,5;15;5,5;31,51
"Corrèze";8;707;5;760;238;580;1398;417;3;2555;101;24,3;13,8;79,2;12,9;20410;6,8;74,2;3,7;9,7;21,5;11,5;2,3;28,28
"Côte-d'Or";37;1862;25;1458;521;1168;3111;1781;58;8641;234;29,6;9,3;79,9;11,3;21680;6,8;74;8,6;8,1;17,1;10,1;3;35,48
"Côtes-d'Armor";17;1783;24;1541;536;1014;2959;1387;13;7633;129;26,1;12,9;78,2;11,8;20590;7,4;73,6;3,3;7,7;22;12,8;3,2;28,43
"Creuse";3;327;3;359;146;312;549;230;2;1116;38;21,5;16,7;77,4;18,2;18820;8;72,9;3;10,3;25,3;15,6;4;26,7
"Dordogne";6;1315;11;903;407;656;2074;1084;7;5282;124;22,4;13,7;79,4;16,3;19540;8,7;73,1;3,6;12,2;29;11,5;4,5;28,84
"Doubs";39;2514;38;2295;565;1414;3343;1441;51;8412;281;30,7;8,7;78,9;11,9;21900;7,6;74,6;6,4;10,5;18,4;11,8;3,5;37,56
"Drôme";31;1889;42;1898;470;1361;2828;1768;36;10984;297;28,5;9,7;79,7;14,7;20440;9,3;75,1;4,8;11,5;26,5;11;3,9;41,5
"Eure";21;2133;28;1798;747;1139;3147;1214;11;9481;179;29,8;9,4;78,2;12,5;21060;8,5;75,2;5,2;10,3;28;13,7;3,6;33,33
"Eure-et-Loir";25;1496;30;1686;516;1030;2117;934;21;5398;170;29;9,9;79,3;12,4;21360;8,1;76,1;5,5;9,7;25,5;14,7;3,3;31,24
"Finistère";16;2824;35;2198;940;1870;4753;2998;9;12056;222;27,4;11,3;77,6;10,6;21030;7,3;72,7;4;7,5;20,1;10,3;3,2;30,58
"Gard";52;2755;36;2749;730;1594;4468;2198;27;16540;346;27,5;10;79,3;19,3;19490;11,9;70,9;6,7;17;28,6;9,3;7;42,04
"Haute-Garonne";120;5842;85;4909;1418;3139;10179;4989;116;43865;672;31,6;7,1;81,5;12,9;22510;8;75,2;10,6;10,3;17,3;8,4;4;53,44
"Gers";2;528;4;438;187;357;985;256;12;2423;66;23,2;12,9;79,4;14,8;20130;6,3;75,3;3,1;9,4;24,1;10,2;3,6;27,48
"Gironde";116;6222;97;4815;1834;2515;11046;6750;113;51832;583;29,8;8,5;80,3;12,6;21710;8,1;74,2;9,3;9,7;19,8;11,1;4,1;52,52
"Hérault";90;5452;90;4183;1179;3735;7491;4714;106;34062;703;29,4;9,3;79,8;19,1;19850;12;70,7;11,7;15,7;23,9;8,5;5,7;52,2
"Ille-et-Vilaine";44;3760;46;2920;1193;2566;5402;3163;61;17504;356;32;8;79,8;10,5;21470;6,4;74,4;6,8;7,3;16;7,8;2,5;34,09
"Indre";5;742;10;666;218;285;1070;331;4;3102;51;23,9;14,3;77,7;14,5;19620;8,1;73,6;3,4;12,2;28;16,5;4,2;29,73
"Indre-et-Loire";15;1939;17;1585;685;824;4396;1715;22;12584;154;29,2;9,5;80;12,8;21100;7,7;74,3;7,8;9,3;19,8;11,6;3,6;39,32
"Isère";55;4875;79;4766;1276;2947;7370;5229;79;33631;744;31,2;7,8;81,3;11,2;22260;6,9;75;7,4;8;18,7;10,1;3;48,1
"Jura";1;743;9;902;296;581;1680;476;2;3372;94;26,6;10,8;79,9;11,9;21050;6,1;75,5;3,8;8,3;21,7;13,6;2,4;31,52
"Landes";20;1192;11;1025;397;771;2280;988;4;6322;81;24,4;11;79,8;11,7;20800;8,3;74,8;3,4;10,1;28,2;9,6;3,4;31,57
"Loir-et-Cher";8;998;10;930;360;501;1515;660;9;4122;104;26,4;11,8;79,4;12,7;20720;7;74,9;4,4;10,6;25,5;13,4;3,7;28,11
"Loire";33;2522;44;2587;662;1716;4344;3311;50;14278;252;29,8;10,2;80,5;14,7;20220;8,3;72,7;5,5;12,1;22,3;11,9;3,7;38,93
"Haute-Loire";3;568;6;684;218;952;1175;455;9;2463;101;25,9;11,6;79,2;12,1;20140;6,6;75;2,8;7,6;20,5;12,4;2,4;29,11
"Loire-Atlantique";51;4916;72;4198;1555;2610;8295;4958;56;44039;504;31,2;8,3;79,6;10,1;21910;6,8;75,8;7,1;7,6;17,9;6,1;3,3;49,38
"Loiret";27;2774;46;2987;853;1733;4545;1358;47;10539;278;30,6;9,2;79,9;13,4;21280;8,3;75,5;7,5;10,8;22,9;13,9;3,7;36,92
"Lot";0;467;6;406;196;429;1028;330;5;2022;54;21,9;14,1;80;14,8;20220;8,3;74,6;4,4;9,3;25,7;10,6;4;28,38
"Lot-et-Garonne";20;1279;12;1141;335;446;1714;662;5;4994;61;25,4;12,5;79,6;17;19300;8,6;73,7;4,3;13,5;28,4;12,7;5,1;32,26
"Lozère";1;191;2;250;78;157;329;178;1;811;20;25,2;13;79,1;14,9;19770;5,3;73,8;5;6,6;19,4;10,7;2,8;26,35
"Maine-et-Loire";45;2216;33;2251;919;1171;3927;2003;18;12938;270;31,1;8,6;80,6;11,4;20440;7,7;75,4;6,3;8,3;19,2;10,7;3,1;31,52
"Manche";13;1231;6;1145;540;827;2209;1012;12;4575;102;25,8;11,9;78,5;12,1;20300;6,2;74,4;3,1;8,8;22;13,4;2,6;23,68
"Marne";37;2217;30;2427;564;1356;3252;2756;29;11021;358;30,7;9;78,3;14,4;21020;7,8;73,2;7,3;12,7;20,9;10,7;4;42,65
"Haute-Marne";12;677;4;619;211;444;755;440;4;2328;109;25,2;12,6;77,2;15,1;19700;7,2;73,1;2,9;12,9;27,4;11,8;4,2;32,89
"Mayenne";6;878;10;873;359;477;1662;547;8;3409;67;29,3;10,1;80;11,4;20170;5,5;76;3,7;6,8;19,2;10,7;2,1;27,1
"Meurthe-et-Moselle";32;3064;45;3027;832;1641;4533;2842;33;10898;393;30,4;9,1;79,2;14,7;20990;8,1;71,1;8,1;12,1;18,9;9,4;4,8;37,37
"Meuse";12;694;7;664;210;464;1017;430;8;2886;82;26,8;11,8;78;15,1;19890;7,9;73,2;3,1;12,1;28;14,1;4,6;35,69
"Morbihan";27;2452;33;2048;887;1436;3264;1617;77;10683;148;26,4;11,5;78,2;11,2;20940;7,3;73,2;4,3;8,1;22,7;9,9;3,1;29,82
"Moselle";29;3800;53;3555;888;2132;4709;3874;30;14977;370;27,3;10;78,8;14,9;21050;8,2;72,6;5,3;11,8;23,8;11,1;4,1;33,06
"Nièvre";6;558;7;553;231;367;1304;537;4;3823;61;23;14,9;77;15,5;19810;7,1;70,7;4,1;14;28;14,6;5;36,93
"Nord";143;14153;223;11971;3366;8129;14952;11079;136;64798;928;32,8;8,8;77,4;18,8;19490;10,9;70,6;7,4;17,4;25,6;10;6,7;49,92
"Oise";33;3091;56;3046;887;2143;4612;2386;44;15730;246;31,2;8,1;78,5;12,9;21500;8,3;74,5;7,8;10,9;26,4;15,2;3,9;38,91
"Orne";12;944;8;1180;375;516;1359;903;12;3523;137;26;13,1;78,5;15,4;19530;7,8;72,9;3,9;11,7;26,3;14,4;4,5;32,33
"Pas-de-Calais";54;7167;90;6475;1801;3972;7277;5519;39;22795;416;30,7;10;76,1;19,3;18610;10,2;70,1;4,2;17;33,1;12,2;6,2;38,1
"Puy-de-Dôme";18;1838;15;1690;538;979;4052;2468;26;11160;200;28,5;10;79,5;12,7;21330;7,3;73,3;6,8;9,5;18,7;10,3;3,9;34,5
"Pyrénées-Atlantiques";26;2033;32;1657;551;1249;3357;1575;29;10315;151;25,9;10,6;80,3;12,2;21250;7;74,6;5,9;9,1;20,7;9,5;3,6;30,6
"Hautes-Pyrénées";3;678;6;566;168;613;1170;758;4;3313;93;24,1;12,8;79,9;15;19910;9,3;72,6;4,5;11,9;23,1;11,6;4,2;32,16
"Pyrénées-Orientales";54;2279;39;2133;529;1194;3552;1396;63;12478;217;25,8;12;78,4;20,5;18880;13,8;69,8;6,7;21,2;35;13,3;8,2;49,97
"Bas-Rhin";68;4208;60;4749;1061;1813;6526;4456;53;18015;452;29,3;8,4;79,6;13;22090;7,1;74,7;9;11;18,5;10,8;3,6;36,26
"Haut-Rhin";55;3049;60;3115;893;1350;3508;2250;35;9192;321;28;9,1;79,8;12,9;22490;8;75,3;6;12,2;25,1;11,1;3,2;31,14
"Rhône";104;8765;140;7812;1955;5728;14193;6672;448;65814;1300;32,9;7,1;81,4;13,8;22410;7,5;74,1;12,6;10,9;16,9;7,5;3,9;59,99
"Haute-Saône";4;719;6;653;243;290;1180;440;10;2684;90;26,6;10,8;78,9;13,4;20090;7,8;74,3;3,1;10,4;25,7;13,2;3,1;26,94
"Saône-et-Loire";33;1630;17;1357;474;1189;2488;1209;9;7536;162;25,5;12,3;79,4;12,9;20230;7,6;74,6;4,2;10;25;12,6;3,2;29,31
"Sarthe";8;2008;31;2257;721;860;3455;1327;8;9092;156;29,3;10;78,9;13;20490;8,3;74,7;4,8;11,3;23,4;13,6;3,2;35,35
"Savoie";18;1528;16;1262;438;1024;2636;1189;16;7590;128;27,9;9;80,5;9,8;22460;6,2;76,7;7,5;6,7;17,7;9,6;2,1;36,27
"Haute-Savoie";29;2833;39;2436;738;3473;4727;1412;46;14650;385;29,2;6,8;81,5;9,1;25700;6,2;80,1;8,7;6,3;18,2;9,5;1,6;36,99
"Paris";224;11084;211;12388;3097;10328;31188;12280;2714;141171;2742;26,9;6,4;81,8;15,2;27400;6,5;78,1;32,2;8,6;12,8;5,8;4,3;105,58
"Seine-Maritime";54;4918;99;4942;1429;2503;7940;5412;43;24754;511;30,3;9,8;77,9;14,5;20620;9,4;72,6;7,4;13,6;24,1;12,2;5,4;41,99
"Seine-et-Marne";43;5591;126;5740;1402;5214;8534;4571;125;30463;970;33,3;6,4;80;11,6;22820;6,9;76,4;11,8;8,6;21,6;9,4;3,2;44,01
"Yvelines";103;5932;122;5913;1410;4594;10341;4961;128;30377;687;32;6,4;81,8;9,4;26130;6,4;76,5;12,4;6,4;17,5;6,7;2,6;44,54
"Deux-Sèvres";17;1059;11;1213;492;611;1688;759;19;5055;124;27,1;10,6;79,2;12,3;20180;6,1;76,6;3;9,3;24,4;11,5;3,1;29,49
"Somme";31;2395;23;2224;722;1305;2402;1643;21;9213;182;30,7;10,5;77,6;16,6;19720;10;71;7;14,7;25;15,9;5,2;35,45
"Tarn";8;1311;24;1255;397;722;1851;929;19;5218;116;26,2;11,5;79,6;15,2;19880;8,9;73,4;4,2;11,5;25,9;11,3;4,7;30,46
"Tarn-et-Garonne";9;816;12;753;252;493;1491;691;17;3625;63;28,5;10,3;79,7;16,8;19560;9,7;74,1;4,3;12,7;29,5;11,8;4,3;31,46
"Var";93;5224;59;4432;988;4146;8268;2410;81;23596;637;25,2;11,4;79,7;15,4;21050;9,4;72,4;10,2;12,4;27,9;11,8;5,2;46,28
"Vaucluse";24;2171;19;1985;484;2082;3417;1573;20;11660;326;28,4;10,2;79,5;19,5;19400;11;73,3;7,4;14,9;30,7;11,2;5,2;42,4
"Vendée";19;1793;26;1668;705;889;3148;1563;22;9137;128;26,8;10,7;79,2;9,3;20720;6,5;76,4;3,2;6,2;21,6;11,2;1,9;27,78
"Vienne";25;1284;28;1423;586;1034;2685;981;33;6933;219;30;10,2;79,6;14;20350;6,8;72,3;7,9;10,9;18,8;12,1;4,6;34,74
"Haute-Vienne";15;991;11;954;310;751;2031;676;17;4993;124;27;11,6;79;15,1;20400;7,7;71,9;6,9;13,4;20;9,6;4,4;29,29
"Vosges";39;1144;6;1138;393;991;1706;806;11;5056;189;25,8;11,9;77,7;15,4;19660;9;73,8;3,1;13,8;28;11,6;5;31,73
"Yonne";8;1559;28;1466;478;1051;2574;1063;13;5616;188;26,3;13,1;77,8;14,4;20230;7,9;74,1;4,8;12;29,5;14,7;4,6;41,97
"Territoire de Belfort";6;367;2;335;85;372;260;166;2;1068;90;29,1;9,7;79;14,2;21310;8,9;73,2;5,8;13,9;23,4;9,2;4,6;19,68
"Essonne";84;5412;113;5662;1222;4054;7396;3841;171;29586;603;33,6;6,1;81,4;12,7;23360;6,7;75,8;13,5;8,8;20,3;8,5;3,3;44,4
"Hauts-de-Seine";89;6957;107;6815;2016;4423;17362;6516;229;50589;559;30,7;6,2;82,5;11,8;27090;6,5;78,5;22,2;7;15,1;6,7;2,9;58,73
"Seine-Saint-Denis";171;11107;339;11290;1952;11555;11094;9425;4025;63982;1428;35,4;5,4;79,7;27,9;17310;10,8;73;26,8;17;27,6;14,6;7,9;76,22
"Val-de-Marne";103;6637;133;6553;1381;5502;9385;5524;436;43283;803;32,2;6,2;81,1;16,3;22290;7,4;76;20,9;10,3;18,8;8,5;4,8;56,48
"Val-d'Oise";173;5576;146;5856;1200;4366;8167;3422;2671;33427;865;34,6;6;80,3;16,6;21470;8,5;74,9;15,8;10,4;22,3;10,7;4,3;52,55
"Guadeloupe";117;3010;37;2088;417;1538;2074;1105;59;8071;500;28,8;8,9;76,7;NA;NA;20,5;70,7;10,3;34,6;38,7;31,9;18,5;50,08
"Martinique";90;2290;26;1813;483;1023;1607;716;14;5883;292;25,9;9,6;79,2;28,6;17580;14,9;71,7;10,6;29,2;36;30,9;16;39,57
"Guyane";157;2384;63;1775;497;396;1033;913;74;7465;243;48,6;3,5;77,3;NA;NA;19,9;63,5;36,1;52,8;52,5;55,4;12,7;52,07
"La Réunion";56;4830;35;3328;1204;1491;2291;1813;42;8944;274;35,5;5,6;77,6;38,3;15020;21,3;69,6;13,1;38;43,1;28,6;17,7;28,37
"Mayotte";16;427;6;336;81;53;297;300;62;1950;92;60,2;NA;74,8;NA;NA;30;NA;NA;NA;NA;72,6;3,9;12,98
