Departements;Population de moins de 25 ans;Taux de mortalité;Esperance de vie Hommes;Taux de pauvreté;Niveau de vie median;Taux de chomage annuel;Taux d'activité population;Taux logement suroccupé;Part d'enfant dont les parent sans enfants;jeunes non inseres;Part des jeunes en difficulté de lecture;Part allocataire RSA 15-64 ans;Taux de criminalité
Ain;30,2;7,6;80,7;10,5;22640;6,1;77,9;4,8;6,7;21,2;10,2;1,9;31,75
Aisne;29,5;11,1;76,9;18,5;19100;11,8;72,1;4,5;16,1;33,5;17,9;5,5;39,48
Allier;24,3;13,6;78,1;15,4;19750;9,1;72,9;4,2;13,5;24,8;13,2;5,2;32,60
Alpes-de-Haute-Provence;24,5;11,9;79,4;16,6;19940;10,3;73,6;5,9;12,1;28,6;9;4,5;40,37
Hautes-Alpes;25,2;10,4;80,7;13,9;20350;7,9;75,8;5,2;8,2;22,2;8,2;3,5;33,83
Alpes-Maritimes;25,9;11;80,5;15,5;21590;8,9;74,6;19,2;11,2;22,8;8,6;3,7;52,59
Ardèche;25,4;11,6;79,7;14,3;20150;9,3;74,4;3,5;10,5;27,3;10,4;3,4;31,56
Ardennes;27,3;11,1;77,8;18,9;19040;10;71,9;3,2;15,6;32,6;10,8;6,5;35,47
Ariège;24,3;12,9;79,1;18,4;19190;10,7;73,4;3,8;14,2;29,5;11,6;7;35,99
Aube;29,4;10,8;77,9;16,3;19820;10,6;73,1;6,8;16,9;26,3;11,5;5,2;41,90
Aude;25,2;11,5;78,7;20,8;18560;11,4;71,8;4,9;17,7;33,9;12,7;7,7;36,15
Aveyron;24;12,5;80,3;13,9;20090;6,4;75,1;3,8;7,8;20,6;9,2;2,6;25,40
Bouches-du-Rhône;29,4;9;80;18,2;20800;10,1;70,4;13;17,1;23,9;11,6;6,3;62,87
Calvados;29,2;10,3;78,6;12,3;20880;7,7;72,9;7,5;9,5;20,3;11,8;3,5;32,35
Cantal;22,4;14,3;78,3;13,2;19880;5;75,6;3,3;7;19,6;11,7;2,8;23,41
Charente;25;12,5;79,5;14,9;20070;8,2;74,7;3,5;13;27,3;13,1;5,1;35,96
Charente-Maritime;24,4;12,3;79,2;13;20610;8,7;73,4;5,2;10,1;25;9,8;4,3;39,17
Cher;25,1;13,1;78,1;14,7;20240;8,8;74;4,2;12,3;27,5;15;5,5;31,51
Corrèze;24,3;13,8;79,2;12,9;20410;6,8;74,2;3,7;9,7;21,5;11,5;2,3;28,28
Côte-d'Or;29,6;9,3;79,9;11,3;21680;6,8;74;8,6;8,1;17,1;10,1;3;35,48
Côtes-d'Armor;26,1;12,9;78,2;11,8;20590;7,4;73,6;3,3;7,7;22;12,8;3,2;28,43
Creuse;21,5;16,7;77,4;18,2;18820;8;72,9;3;10,3;25,3;15,6;4;26,70
Dordogne;22,4;13,7;79,4;16,3;19540;8,7;73,1;3,6;12,2;29;11,5;4,5;28,84
Doubs;30,7;8,7;78,9;11,9;21900;7,6;74,6;6,4;10,5;18,4;11,8;3,5;37,56
Drôme;28,5;9,7;79,7;14,7;20440;9,3;75,1;4,8;11,5;26,5;11;3,9;41,50
Eure;29,8;9,4;78,2;12,5;21060;8,5;75,2;5,2;10,3;28;13,7;3,6;33,33
Eure-et-Loir;29;9,9;79,3;12,4;21360;8,1;76,1;5,5;9,7;25,5;14,7;3,3;31,24
Finistère;27,4;11,3;77,6;10,6;21030;7,3;72,7;4;7,5;20,1;10,3;3,2;30,58
Gard;27,5;10;79,3;19,3;19490;11,9;70,9;6,7;17;28,6;9,3;7;42,04
Haute-Garonne;31,6;7,1;81,5;12,9;22510;8;75,2;10,6;10,3;17,3;8,4;4;53,44
Gers;23,2;12,9;79,4;14,8;20130;6,3;75,3;3,1;9,4;24,1;10,2;3,6;27,48
Gironde;29,8;8,5;80,3;12,6;21710;8,1;74,2;9,3;9,7;19,8;11,1;4,1;52,52
Hérault;29,4;9,3;79,8;19,1;19850;12;70,7;11,7;15,7;23,9;8,5;5,7;52,20
Ille-et-Vilaine;32;8;79,8;10,5;21470;6,4;74,4;6,8;7,3;16;7,8;2,5;34,09
Indre;23,9;14,3;77,7;14,5;19620;8,1;73,6;3,4;12,2;28;16,5;4,2;29,73
Indre-et-Loire;29,2;9,5;80;12,8;21100;7,7;74,3;7,8;9,3;19,8;11,6;3,6;39,32
Isère;31,2;7,8;81,3;11,2;22260;6,9;75;7,4;8;18,7;10,1;3;48,10
